OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-425846077494501,LV1269,Well,,04130003,,,,,42.97966667000000,-77.8293306000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,649,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,051,,,Till,,20091006,33,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-425854075285701,OE3623,Well,,04140202,,,,,42.98172220000000,-75.4825556000000,24000,1,seconds,Interpolated from MAP.,NAD83,1221,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,Helderberg Group,,20120522,84,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-425855075512201,"M 491, NY",Well,,04140202,,,,,42.98194444000000,-75.8560000000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1145,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,053,,,,,20001030,82,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-425900078120001,GS 216,Well,,04120104,,,,,42.98447220000000,-78.1611667000000,24000,1,minutes,Interpolated from MAP.,NAD83,890,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,037,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,,19630326,69,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-425918075143801,OE1112,Well,,02020004,,,,,42.98845556000000,-75.2440388900000,24000,Unknown,Unknown,Unknown.,NAD83,927,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,,,,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-425944076385301,CY 680,Well,,04140201,,,,,42.99530556000000,-76.6478611000000,24000,.1,seconds,Interpolated from MAP.,NAD83,495,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,011,,,Camillus Shale,,20030821,125,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430021073485001,SA 164,Well,,02020003,,,,,43.00595830000000,-73.8139861000000,24000,Unknown,Unknown,Unknown.,NAD83,331,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,,,,,,40,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430047075003001,HE 622,Well,,02020004,,,,,43.01300000000000,-75.0080277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,395,feet,10,feet,Interpolated from topographic map.,NGVD29,US,36,043,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,Unconfined single aquifer,,52,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430108075022801,"HE2197, NY",Well,,02020004,,,,,43.01897220000000,-75.0410000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,394,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,043,,,,,,85,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430150073513201,SA1091,Well,,02020003,,,,,43.03841667000000,-73.8585277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,420,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,,,Canajoharie Shale,,19890202,61,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430150077405001,MO 1680,Well,,04130003,,,,,43.03083056000000,-77.6808306000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,670,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,"Akron-Coblesville-Bertie Formations, Undifferentiated",,20071105,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430300078571201,E3085,Well,,04120104,,,,,43.05010830000000,-78.9533888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,570,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,029,,,Bedrock,,,68,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430319073505701,"SA 449, NY",Well,,02020003,,,,,43.05527778000000,-73.8491667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,421,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,,,Canajoharie Shale,,,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430355074072001,FU 660,Well,,02020002,,,,,43.06536110000000,-74.1219444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,982,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,035,,,Beekmantown Group,,20020419,143,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430444074214301,FU1204,Well,,02020002,,,,,43.07875000000000,-74.3618611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1161,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,035,,,Sand and Gravel,,20060608,235,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430602076510501,"WN 802, NY",Well,,04140201,,,,,43.10063889000000,-76.8513611000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,489,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,117,,,,,20030730,78,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430645076552301,WN 807,Well,,04140201,,,,,43.11263889000000,-76.9232222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,400,feet,0.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,117,,,Sand and Gravel,,20030915,55,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430647076552901,WN 560,Well,,04140201,,,,,43.11297220000000,-76.9244444000000,24000,1,seconds,Interpolated from MAP.,NAD83,400,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,117,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,Unconfined single aquifer,,55,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430655075240001,OE1460,Well,,02020004,,,,,43.11566667000000,-75.4003056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,520,feet,5,feet,Differentially corrected Global Positioning System.,NGVD29,US,36,065,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,Unconfined single aquifer,19570101,28,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430728073443401,SA4987,Well,,02020003,,,,,43.12450000000000,-73.7426944000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,327,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,,20060109,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430805077541601,MO 1851,Well,,04130003,,,,,43.13477778000000,-77.9046388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,640,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,Guelph Dolomite of Lockport Group,,,73,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430835076411901,"CY929, NY",Well,,04140201,,,,,43.14311110000000,-76.6885556000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,399,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,011,,,,,20040901,111,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430848074581101,"HE 685, NY",Well,,02020004,,,,,43.14655556000000,-74.9697777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,621,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,043,,,,,,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430919077181201,"WN832, NY",Well,,04140201,,,,,43.15530556000000,-77.3032777800000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,496,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,117,,,,,20040720,54,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-430922074124501,"FU2103, NY",Well,,02020002,,,,,43.15602778000000,-74.2124167000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,780,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,035,,,,,20171031,402,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431001076243501,OD   4,Well,,04140201,,,,,43.16699167000000,-76.4098167000000,24000,Unknown,Unknown,Unknown.,NAD83,415,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,067,,,,,,80,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431020077001601,WN1109,Well,,04140101,,,,,43.16708330000000,-77.0084167000000,24000,.1,seconds,Interpolated from MAP.,NAD83,572,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,117,,,Lockport Dolomite,,20140107,215,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431023075311201,"OE1670, NY",Well,,04140202,,,,,43.17305556000000,-75.5200000000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,491,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,,,20000724,80,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431033074303601,"FU1663, NY",Well,,02020004,,,,,43.17577778000000,-74.5098611000000,24000,.1,seconds,Interpolated from MAP.,NAD83,1561,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,035,,,,,,275,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431141077310401,"MO1810, NY",Well,,04140101,,,,,43.19480556000000,-77.5176667000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,248,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,,,20120328,39,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431155077491401,MO 1642,Well,,04130001,,,,,43.19871944000000,-77.8208056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,484,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,Bedrock,,,36,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431230078023001,OL  19,Well,,04130001,,,,,43.21663889000000,-78.0376667000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,560,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,073,New York and New England carbonate-rock aquifers,,Lockport Dolomite,,,32,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431240073425601,"SA5675, NY",Well,,02020003,,,,,43.21111110000000,-73.7155556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,345.2,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,,,,,20070622,88,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431245073281201,"W4071, NY",Well,,02020003,,,,,43.21250000000000,-73.4700000000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,115,,,Poultney Slate,,19880101,600,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431350074110301,FU 278,Well,,02020002,,,,,43.23019444000000,-74.1834167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,771,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,035,,,Sand and Gravel,,19970101,61.5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431407077322901,"LAKE ONTARIO AT SEA BREEZE, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.23536110000000,-77.5413056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,244,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431448073290901,W4071,Well,,02020003,,,,,43.21263889000000,-73.4708888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,300,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,115,,,Poultney Slate,,,600,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431459074194501,"H 794, NY",Well,,02020002,,,,,43.24966667000000,-74.3291944000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1263,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,20130429,222,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431535077363101,"LAKE ONTARIO AT ONTARIO BEACH PARK, NY","Lake, Reservoir, Impoundment",,04130001,,,,,43.25970000000000,-77.6085000000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431542075520801,OW 503,Well,,04140202,,,,,43.26183330000000,-75.8690833000000,24000,.1,seconds,Interpolated from MAP.,NAD83,534,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,075,,,Sand and Gravel,Unconfined single aquifer,,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431543075520901,"OW 440, NY",Well,,04140202,,,,,43.26183330000000,-75.8690833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,534,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,"Silurian, Upper",,19740101,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431547077525001,"MO1828, NY",Well,,04130001,,,,,43.26316667000000,-77.8805000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,348,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,,,,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431548076593501,"LAKE ONTARIO (SODUS BAY) AT SODUS POINT, NY","Lake, Reservoir, Impoundment",,04140101,,,,,43.26325000000000,-76.9931388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,117,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431553077564301,"MO1442, NY",Well,,04130001,,,,,43.26480556000000,-77.9452222000000,24000,.1,seconds,Interpolated from MAP.,NAD83,365,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,055,,,,,,33,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431635075310401,OE4082,Well,,04140202,,,,,43.27652778000000,-75.5180000000000,24000,.1,seconds,Interpolated from MAP.,NAD83,507,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,Utica Shale,,20160714,278,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431641078591501,"LAKE ONTARIO AT FOURMILE CREEK STATE PARK, NY","Lake, Reservoir, Impoundment",,04130001,,,,,43.27800000000000,-78.9875833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,063,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431645076494101,"LAKE ONTARIO (PORT BAY) NEAR WOLCOTT, NY","Lake, Reservoir, Impoundment",,04140101,,,,,43.27902778000000,-76.8279444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,117,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431741077405001,"LAKE ONTARIO (LONG POND) NEAR NORTH GREECE, NY","Lake, Reservoir, Impoundment",,04130001,,,,,43.29477778000000,-77.6805556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431803073234601,W3002,Well,,02020003,,,,,43.30072220000000,-73.3960277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1141,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,115,,,"Ordovician, Middle",,20080408,600,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431815076233801,OW 439,Well,,04140203,,,,,43.26066667000000,-76.3554444000000,24000,.1,seconds,Interpolated from MAP.,NAD83,393,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,075,,,Clinton Group,,,91,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431815076234001,OW 454,Well,,04140203,,,,,43.30423510000000,-76.3941018000000,24000,1,seconds,"Transit, theodolite, or other surveying method.",NAD83,360,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,075,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,Unconfined single aquifer,,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431819076502101,"LAKE ONTARIO OFFSHORE AT PORT BAY, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.30538889000000,-76.8390277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,117,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431833077420401,LAKE ONTARIO AT BRADDOCK BAY STATE PARK NY,"Lake, Reservoir, Impoundment",,04150200,,,,,43.30908330000000,-77.7010833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431838078032001,"OL 354, NY",Well,,04130001,,,,,43.31047220000000,-78.0554444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,374,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,073,,,,,,34,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431847075002101,"HE1947, NY",Well,,02020004,,,,,43.31302778000000,-75.0059444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1263,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,043,,,,,,196,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431902073505301,SA1090,Well,,02020003,,,,,43.29830556000000,-73.8260556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,564,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,091,,,Sand and Gravel,,19590101,641,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-431906076404201,CY 265,Well,,04140101,,,,,43.31844444000000,-76.6783056000000,24000,.1,seconds,Interpolated from MAP.,NAD83,270,feet,10,feet,Interpolated from topographic map.,NGVD29,US,36,011,,,Sand and Gravel,,19690101,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432010075104701,OE1104,Well,,02020004,,,,,43.33630556000000,-75.1798972000000,24000,Unknown,Unknown,Unknown.,NAD83,1221,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,065,,,,,,175,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432020078431901,"LAKE ONTARIO AT OLCOTT, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.33897220000000,-78.7218333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,063,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432038076424101,LAKE ONTARIO (LITTLE SODUS B) W BARRIER BAR CO PK,"Lake, Reservoir, Impoundment",,04140101,,,,,43.34391667000000,-76.7114722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,011,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432044076424901,"LAKE ONTARIO AT WEST BARRIER BAR COUNTY PARK, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.34547220000000,-76.7135833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,011,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432111077533801,"LAKE ONTARIO NEAR HAMLIN BEACH STATE PARK, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.35308330000000,-77.8938333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432223078113301,"LAKE ONTARIO AT POINT BREEZE, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.37327778000000,-78.1924444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,073,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432229073462101,WR2631,Well,,02020001,,,,,43.37483330000000,-73.7726111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,826,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,Bedrock,,20111004,220,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432349075565301,OW 622,Well,,04140102,,,,,43.39702778000000,-75.9481667000000,24000,.1,seconds,Interpolated from MAP.,NAD83,695,feet,5,feet,Interpolated from topographic map.,NAVD88,US,36,075,,,"Ordovician, Upper",,20001013,153,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432407073152001,W3220,Well,,04150401,,,,,43.40394444000000,-73.2540000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,381,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,115,,,Sand and Gravel,Unconfined single aquifer,20090629,18,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432428073311501,W 534,Well,,04150401,,,,,43.40875000000000,-73.5440833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,287,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,115,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,,,140,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432440074151501,H 352,Well,,02020002,,,,,43.41325000000000,-74.2546111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1309,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,Bedrock,,20030805,300,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432505073550401,"WR1252, NY",Well,,02020001,,,,,43.41816667000000,-73.9178333000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,810,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,,,20040722,578,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432536076134601,OW2055,Well,,04140102,,,,,43.42675000000000,-76.2294167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,411,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,075,,,,,20120409,42,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432652075121601,OE1991,Well,,04150101,,,,,43.44780556000000,-75.2039167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1190,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,065,,,Basement Complex,,20020522,700,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432741076315401,"LAKE ONTARIO AT SUNY OSWEGO, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.46150000000000,-76.5317222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,075,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432820075441501,L 493,Well,,04140202,,,,,43.47358330000000,-75.7393056000000,24000,.1,seconds,Interpolated from MAP.,NAD83,1251,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,049,,,"Silurian, Lower",,20051013,82,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432902073415202,WR  87,Well,,04150408,,,,,43.48472220000000,-73.7041667000000,24000,10,seconds,Interpolated from MAP.,NAD83,766,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,,,,196,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-432920075550901,OW1677,Well,,04140202,,,,,43.48891667000000,-75.9191388900000,24000,.01,seconds,Interpolated from MAP.,NAD83,705,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,075,,,Oswego Sandstone,,20080413,42,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433035073450703,WR  83,Well,,02020001,,,,,43.50972220000000,-73.7519444000000,24000,.5,seconds,Unknown.,NAD83,691,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,Sand and Gravel,,19980101,33,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433047074220501,H 383,Well,,02020002,,,,,43.51258330000000,-74.3667777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1863,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,Bedrock,,20030812,140,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433048073450401,"WR2719, NY",Well,,02020001,,,,,43.51325000000000,-73.7512500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,691,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,Precambrian Erathem,,20120621,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433104073483901,WR1568,Well,,02020001,,,,,43.51750000000000,-73.8107222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,659,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,113,,,Sand and Gravel,,20050713,85,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433320073153401,W2054,Well,,04150401,,,,,43.55555556000000,-73.2593056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,371,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,115,,,Cambrian System,,20041111,505,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-433334076123701,"LAKE ONTARIO AT SELKIRK SHORES STATE PARK, NY","Lake, Reservoir, Impoundment",,04150200,,,,,43.55955556000000,-76.2102500000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,075,,,,,,,,,,NWIS
